term_str,n,n_chars,p,i,max_pos,n_pos,max_pos_group,stop,stem_porter,stem_snowball,stem_lancaster,tfidf_mean,dfidf
dynamically,4,11,5.1299874700056045e-06,17.572613267270178,RB,1,RB,0,dynam,dynam,dynam,0.04722993100482917,24.199394197802246
dyou,80,4,0.00010259974940011209,13.250685172382816,NN,7,NN,0,dyou,dyou,dyou,0.022146690257127268,113.97834495578363
dysentery,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,dysenteri,dysenteri,dysentery,0.10733131399267418,8.049848549450562
dyspepsia,2,9,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,dyspepsia,dyspepsia,dyspeps,0.022210266662737687,14.099697098901123
début,1,5,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,début,début,début,0.030262588531769028,8.049848549450562
débutante,2,9,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,débutant,débutant,débutante,0.09994038173550604,14.099697098901123
débutantes,9,10,1.154247180751261e-05,16.402688265827866,NNS,3,NN,0,débutant,débutant,débutantes,0.09136599981743963,43.919311932074244
déclassé,1,8,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,déclassé,déclassé,déclassé,0.13879049223190623,8.049848549450562
dœuvre,1,6,1.2824968675014011e-06,19.572613267270178,VBP,1,VB,0,dœuvr,dœuvr,dœuvr,0.018985491861911702,8.049848549450562
dœuvres,5,7,6.412484337507005e-06,17.250685172382816,VBP,2,VB,0,dœuvr,dœuvr,dœuvr,0.19978500571575616,14.099697098901123
e,5,1,6.412484337507005e-06,17.250685172382816,NNP,2,NN,0,e,e,e,0.028751089725092726,19.394658146188217
each,539,4,0.0006912658115832552,10.498471804517674,DT,5,DT,1,each,each,each,0.01205383180655137,109.67578012545576
eager,28,5,3.590991229003923e-05,14.765258345212574,JJ,7,JJ,0,eager,eager,eag,0.024365334596616738,88.96394827675151
eagerly,43,7,5.514736530256025e-05,14.14634851256808,NN,6,NN,0,eagerli,eager,eag,0.027534154438410025,100.72111407880756
eagerlyof,1,9,1.2824968675014011e-06,19.572613267270178,VBD,1,VB,0,eagerlyof,eagerlyof,eagerlyof,0.09252699482127083,8.049848549450562
eagerness,8,9,1.0259974940011209e-05,16.572613267270178,NN,1,NN,0,eager,eager,eag,0.02873336120762599,40.39878839560449
eagle,4,5,5.1299874700056045e-06,17.572613267270178,NN,2,NN,0,eagl,eagl,eagl,0.02286717913226113,24.199394197802246
eagleis,1,7,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,eaglei,eaglei,eagl,0.01677051781135534,8.049848549450562
eagles,4,6,5.1299874700056045e-06,17.572613267270178,NN,3,NN,0,eagl,eagl,eagl,0.09422066495108697,14.099697098901123
ealing,2,6,2.5649937350028022e-06,18.572613267270178,NNP,1,NN,0,eal,eal,eal,0.08176807512283404,14.099697098901123
ear,55,3,7.053732771257707e-05,13.79125355374552,NN,8,NN,0,ear,ear,ear,0.01968839345873749,110.3841583381316
earl,2,4,2.5649937350028022e-06,18.572613267270178,NNP,1,NN,0,earl,earl,earl,0.060525177063538056,8.049848549450562
earlier,13,7,1.6672459277518214e-05,15.872173549129087,RBR,4,RB,0,earlier,earlier,ear,0.06200484651970129,50.49458623894591
earliest,5,8,6.412484337507005e-06,17.250685172382816,JJS,1,JJ,0,earliest,earliest,earliest,0.04088537013929441,28.639602272815992
earls,1,5,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,earl,earl,earl,0.03985073539331962,8.049848549450562
early,146,5,0.00018724454265520456,12.382788708390162,JJ,7,JJ,0,earli,earli,ear,0.017011806203207462,139.2326146404313
earmark,1,7,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,earmark,earmark,earmark,0.05439086857736867,8.049848549450562
earn,10,4,1.282496867501401e-05,16.250685172382816,VB,2,VB,0,earn,earn,earn,0.024365908610291243,43.919311932074244
earned,4,6,5.1299874700056045e-06,17.572613267270178,VBD,2,VB,0,earn,earn,earn,0.023546216430557126,24.199394197802246
earnest,13,7,1.6672459277518214e-05,15.872173549129087,NN,3,NN,0,earnest,earnest,earnest,0.022507370279706233,56.542314807023104
earnestly,15,9,1.9237453012521015e-05,15.66572267166166,RB,5,RB,0,earnestli,earnest,earnest,0.042771228116816815,59.39491078350141
earnestness,9,11,1.154247180751261e-05,16.402688265827866,NN,2,NN,0,earnest,earnest,earnest,0.02144801708419506,36.6974553917507
earning,5,7,6.412484337507005e-06,17.250685172382816,VBG,1,VB,0,earn,earn,earn,0.03629196425052542,28.639602272815992
earrings,1,8,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,ear,earring,ear,0.01701870729270732,8.049848549450562
ears,68,4,8.720978699009528e-05,13.485150426019839,NN,4,NN,0,ear,ear,ear,0.01726143140977356,119.3217965614323
earth,154,5,0.00019750451759521578,12.305826726575278,NN,5,NN,0,earth,earth,ear,0.018275456288595997,136.94599873653019
earthenware,4,11,5.1299874700056045e-06,17.572613267270178,NN,1,NN,0,earthenwar,earthenwar,earthenw,0.02857644829233531,24.199394197802246
earthly,5,7,6.412484337507005e-06,17.250685172382816,JJ,2,JJ,0,earthli,earth,earth,0.023200549296631897,28.639602272815992
earthquakes,1,11,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,earthquak,earthquak,earthquak,0.029704238189854473,8.049848549450562
earths,2,6,2.5649937350028022e-06,18.572613267270178,NN,2,NN,0,earth,earth,earth,0.04658604244723688,14.099697098901123
earthscratching,1,15,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,earthscratch,earthscratch,earthscratch,0.030842331607090274,8.049848549450562
earthy,2,6,2.5649937350028022e-06,18.572613267270178,JJ,1,JJ,0,earthi,earthi,earthy,0.043690464552450646,14.099697098901123
ease,47,4,6.027735277256585e-05,14.018024415592542,NN,5,NN,0,eas,eas,eas,0.02133721802968865,105.09462180139964
eased,2,5,2.5649937350028022e-06,18.572613267270178,VBD,1,VB,0,eas,eas,eas,0.040004578099748736,14.099697098901123
easels,1,6,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,easel,easel,easel,0.03926755389975884,8.049848549450562
easier,16,6,2.0519949880022418e-05,15.572613267270178,JJR,4,JJ,0,easier,easier,easy,0.024489324946818526,62.14436930763064
easiest,4,7,5.1299874700056045e-06,17.572613267270178,JJS,1,JJ,0,easiest,easiest,easiest,0.016734359314422104,24.199394197802246
easily,35,6,4.488739036254904e-05,14.443330250325213,RB,7,RB,0,easili,easili,easy,0.030904061190161754,94.2887386152613
easing,2,6,2.5649937350028022e-06,18.572613267270178,VBG,1,VB,0,eas,eas,eas,0.033648918703769404,14.099697098901123
east,66,4,8.464479325509247e-05,13.528219147911726,NNP,5,NN,0,east,east,east,0.0366477380169494,112.81410317418393
eastbourne,9,10,1.154247180751261e-05,16.402688265827866,NNP,1,NN,0,eastbourn,eastbourn,eastbourn,0.20013435620180955,8.049848549450562
eastchester,1,11,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,eastchest,eastchest,eastchest,0.01677051781135534,8.049848549450562
easter,12,6,1.5389962410016814e-05,15.987650766549022,NNP,2,NN,0,easter,easter,east,0.0710534656939701,32.789316292376434
eastern,8,7,1.0259974940011209e-05,16.572613267270178,JJ,2,JJ,0,eastern,eastern,eastern,0.03525524100160224,40.39878839560449
eastward,3,8,3.8474906025042036e-06,17.987650766549024,RB,2,RB,0,eastward,eastward,eastward,0.026890686365793004,19.394658146188217
easy,72,4,9.233977446010088e-05,13.402688265827866,JJ,6,JJ,0,easi,easi,easy,0.01950880404984527,121.24858358143236
easychair,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,easychair,easychair,easychair,0.08473524788895329,8.049848549450562
easygoing,1,9,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,easygo,easygo,easygo,0.017928393205903257,8.049848549450562
easyits,1,7,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,easyit,easyit,easyit,0.05791257949245009,8.049848549450562
eat,120,3,0.00015389962410016812,12.66572267166166,VB,5,VB,0,eat,eat,eat,0.02845771672995596,124.76688597592461
eaten,19,5,2.4367440482526622e-05,15.324685753826593,VBN,4,VB,0,eaten,eaten,eat,0.028016430264496232,67.36055703940377
eatin,2,5,2.5649937350028022e-06,18.572613267270178,VB,2,VB,0,eatin,eatin,eatin,0.2721448888574665,14.099697098901123
eating,53,6,6.797233397757425e-05,13.84469281270698,VBG,4,VB,0,eat,eat,eat,0.022314650993192756,105.09462180139964
eats,3,4,3.8474906025042036e-06,17.987650766549024,VBZ,1,VB,0,eat,eat,eat,0.015300723506444834,19.394658146188217
eau,6,3,7.694981205008407e-06,16.987650766549024,NNP,1,NN,0,eau,eau,eau,0.18245986595471286,24.199394197802246
eaves,2,5,2.5649937350028022e-06,18.572613267270178,JJ,2,JJ,0,eav,eav,eav,0.09964246724305123,14.099697098901123
eavesdropper,1,12,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,eavesdropp,eavesdropp,eavesdrop,0.015274854932543762,8.049848549450562
eavesdroppers,1,13,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,eavesdropp,eavesdropp,eavesdrop,0.03985073539331962,8.049848549450562
eavesdropping,1,13,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,eavesdrop,eavesdrop,eavesdrop,0.2118381197223832,8.049848549450562
ebb,4,3,5.1299874700056045e-06,17.572613267270178,NN,2,NN,0,ebb,ebb,eb,0.03643311230378236,24.199394197802246
ebbs,1,4,1.2824968675014011e-06,19.572613267270178,VBZ,1,VB,0,ebb,ebb,eb,0.02630669460604759,8.049848549450562
eberhardt,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,eberhardt,eberhardt,eberhardt,0.040048997758460506,8.049848549450562
ebony,3,5,3.8474906025042036e-06,17.987650766549024,NN,1,NN,0,eboni,eboni,ebony,0.14197611662087936,14.099697098901123
ebook,2,5,2.5649937350028022e-06,18.572613267270178,NNP,1,NN,0,ebook,ebook,ebook,0.3882525288103208,14.099697098901123
ebro,2,4,2.5649937350028022e-06,18.572613267270178,NNP,1,NN,0,ebro,ebro,ebro,0.12676926849528444,8.049848549450562
eccentric,18,9,2.308494361502522e-05,15.402688265827866,JJ,6,JJ,0,eccentr,eccentr,ecc,0.01741101218710992,64.79757679120898
eccentrically,1,13,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,eccentr,eccentr,ecc,0.020747032343944746,8.049848549450562
eccentricities,3,14,3.8474906025042036e-06,17.987650766549024,NNS,2,NN,0,eccentr,eccentr,ecc,0.026259018446227994,19.394658146188217
eccentricity,7,12,8.977478072509808e-06,16.765258345212576,NN,1,NN,0,eccentr,eccentr,ecc,0.03490671276310237,28.639602272815992
ecclesiastical,3,14,3.8474906025042036e-06,17.987650766549024,JJ,2,JJ,0,ecclesiast,ecclesiast,ecclesiast,0.03200185868847624,19.394658146188217
echo,9,4,1.154247180751261e-05,16.402688265827866,NN,2,NN,0,echo,echo,echo,0.04345677641161137,43.919311932074244
echoed,21,6,2.6932434217529424e-05,15.180295844491418,NN,6,NN,0,echo,echo,echo,0.023607993814738392,69.83862386414849
echoes,7,6,8.977478072509808e-06,16.765258345212576,NNS,3,NN,0,echo,echo,echo,0.02637440456079773,36.6974553917507
echoing,2,7,2.5649937350028022e-06,18.572613267270178,VBG,1,VB,0,echo,echo,echo,0.05950032091309553,14.099697098901123
echolalia,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,echolalia,echolalia,echolal,0.025077409811372468,8.049848549450562
eckhaust,1,8,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,eckhaust,eckhaust,eckhaust,0.030262588531769028,8.049848549450562
eckleburg,5,9,6.412484337507005e-06,17.250685172382816,NNP,1,NN,0,eckleburg,eckleburg,eckleburg,0.046251711532452805,19.394658146188217
eckleburgs,2,10,2.5649937350028022e-06,18.572613267270178,NNP,1,NN,0,eckleburg,eckleburg,eckleburg,0.0253875475470247,14.099697098901123
eclipse,1,7,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,eclips,eclips,eclips,0.20124621373626406,8.049848549450562
economic,5,8,6.412484337507005e-06,17.250685172382816,JJ,1,JJ,0,econom,econom,econom,0.019769049614265965,28.639602272815992
economical,3,10,3.8474906025042036e-06,17.987650766549024,JJ,1,JJ,0,econom,econom,econom,0.045619115122077954,19.394658146188217
economically,1,12,1.2824968675014011e-06,19.572613267270178,RB,1,RB,0,econom,econom,econom,0.04259179126693419,8.049848549450562
economics,7,9,8.977478072509808e-06,16.765258345212576,NN,4,NN,0,econom,econom,econom,0.02732932473877776,36.6974553917507
economies,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,economi,economi,econom,0.09147555169830185,8.049848549450562
economize,1,9,1.2824968675014011e-06,19.572613267270178,VB,1,VB,0,econom,econom,econom,0.037267817358567414,8.049848549450562
economy,6,7,7.694981205008407e-06,16.987650766549024,NN,1,NN,0,economi,economi,econom,0.056759402123476244,28.639602272815992
economywithout,1,14,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,economywithout,economywithout,economywithout,0.04259179126693419,8.049848549450562
ecstasies,1,9,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,ecstasi,ecstasi,ecstasy,0.09252699482127083,8.049848549450562
ecstasy,13,7,1.6672459277518214e-05,15.872173549129087,NN,1,NN,0,ecstasi,ecstasi,ecstasy,0.025434176383712388,56.542314807023104
ecstatic,6,8,7.694981205008407e-06,16.987650766549024,JJ,1,JJ,0,ecstat,ecstat,ecst,0.03252517591693681,28.639602272815992
ecstatically,3,12,3.8474906025042036e-06,17.987650766549024,RB,2,RB,0,ecstat,ecstat,ecst,0.03302445335796809,19.394658146188217
ectoplasm,1,9,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,ectoplasm,ectoplasm,ectoplasm,0.040048997758460506,8.049848549450562
ed,5,2,6.412484337507005e-06,17.250685172382816,CC,4,CC,0,ed,ed,ed,0.11238167870148266,24.199394197802246
eddied,4,6,5.1299874700056045e-06,17.572613267270178,VBD,2,VB,0,eddi,eddi,eddy,0.047319210419648025,24.199394197802246
eddies,6,6,7.694981205008407e-06,16.987650766549024,NNS,2,NN,0,eddi,eddi,eddy,0.027115645558617923,24.199394197802246
eddy,4,4,5.1299874700056045e-06,17.572613267270178,NN,2,NN,0,eddi,eddi,eddy,0.029847335894148834,24.199394197802246
eddying,1,7,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,eddi,eddi,eddy,0.012777537380080257,8.049848549450562
edgar,6,5,7.694981205008407e-06,16.987650766549024,NNP,1,NN,0,edgar,edgar,edg,0.06326104213470511,28.639602272815992
edgars,1,6,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,edgar,edgar,edg,0.03425467467851303,8.049848549450562
edge,114,4,0.00014620464289515973,12.739723253105437,NN,3,NN,0,edg,edg,edg,0.014647812636478063,136.18924360279928
edged,12,5,1.5389962410016814e-05,15.987650766549022,VBN,2,VB,0,edg,edg,edg,0.07894901052900857,36.6974553917507
edgeit,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,edgeit,edgeit,edgeit,0.02353756885804258,8.049848549450562
edgeon,1,6,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,edgeon,edgeon,edgeon,0.01677051781135534,8.049848549450562
edges,17,5,2.180244674752382e-05,15.485150426019839,NNS,2,NN,0,edg,edg,edg,0.031357746509788564,59.39491078350141
edging,1,6,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,edg,edg,edg,0.03425467467851303,8.049848549450562
edison,2,6,2.5649937350028022e-06,18.572613267270178,NNP,1,NN,0,edison,edison,edison,0.15024506529969126,14.099697098901123
edited,1,6,1.2824968675014011e-06,19.572613267270178,VBN,1,VB,0,edit,edit,edit,0.5366565699633709,8.049848549450562
edith,60,5,7.694981205008406e-05,13.66572267166166,NNP,4,NN,0,edith,edith,edi,0.6168557144689469,36.6974553917507
ediths,3,6,3.8474906025042036e-06,17.987650766549024,NNP,1,NN,0,edith,edith,edith,0.12887701349867212,19.394658146188217
editing,4,7,5.1299874700056045e-06,17.572613267270178,VBG,2,VB,0,edit,edit,edit,0.05531463025214365,24.199394197802246
edition,10,7,1.282496867501401e-05,16.250685172382816,NN,1,NN,0,edit,edit,edit,0.036849284516002036,43.919311932074244
editions,9,8,1.154247180751261e-05,16.402688265827866,NN,2,NN,0,edit,edit,edit,0.03736674533455852,32.789316292376434
editor,6,6,7.694981205008407e-06,16.987650766549024,NN,2,NN,0,editor,editor,edit,0.05160897578379493,28.639602272815992
editorial,6,9,7.694981205008407e-06,16.987650766549024,NN,1,NN,0,editori,editori,edit,0.09981747375445643,24.199394197802246
editorials,2,10,2.5649937350028022e-06,18.572613267270178,NNS,1,NN,0,editori,editori,edit,0.03545884761751522,14.099697098901123
editors,5,7,6.412484337507005e-06,17.250685172382816,NN,3,NN,0,editor,editor,edit,0.029413577332318953,24.199394197802246
edits,1,5,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,edit,edit,edit,0.03425467467851303,8.049848549450562
edmund,1,6,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,edmund,edmund,edmund,0.09252699482127083,8.049848549450562
edna,24,4,3.077992482003363e-05,14.987650766549022,NNP,2,NN,0,edna,edna,edn,0.24726212768386954,14.099697098901123
ednas,1,5,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,edna,edna,edna,0.023886790947924518,8.049848549450562
educate,6,7,7.694981205008407e-06,16.987650766549024,VB,2,VB,0,educ,educ,educ,0.02235264627430797,32.789316292376434
educated,28,8,3.590991229003923e-05,14.765258345212574,VBN,6,VB,0,educ,educ,educ,0.02632875823676238,69.83862386414849
education,42,9,5.386486843505885e-05,14.180295844491418,NN,5,NN,0,educ,educ,educ,0.02960819994643104,90.7898215670028
educational,3,11,3.8474906025042036e-06,17.987650766549024,JJ,1,JJ,0,educ,educ,educ,0.37505175567088694,19.394658146188217
educationalists,1,15,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,educationalist,educationalist,educ,0.03926755389975884,8.049848549450562
educationhow,1,12,1.2824968675014011e-06,19.572613267270178,VBP,1,VB,0,educationhow,educationhow,educationhow,0.02804825278554203,8.049848549450562
educations,1,10,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,educ,educ,educ,0.08563668669628258,8.049848549450562
educationthey,1,13,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,educationthey,educationthey,educationthey,0.03779271619460358,8.049848549450562
educator,1,8,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,educ,educ,educ,0.016982802846942112,8.049848549450562
educators,1,9,1.2824968675014011e-06,19.572613267270178,FW,1,FW,0,educ,educ,educ,0.016982802846942112,8.049848549450562
edward,17,6,2.180244674752382e-05,15.485150426019839,NNP,2,NN,0,edward,edward,edward,0.03964262491024202,40.39878839560449
edwardian,3,9,3.8474906025042036e-06,17.987650766549024,JJ,2,JJ,0,edwardian,edwardian,edward,0.058051792423922326,8.049848549450562
edwardians,7,10,8.977478072509808e-06,16.765258345212576,NNPS,2,NN,0,edwardian,edwardian,edward,0.1354541823224854,8.049848549450562
edwards,11,7,1.4107465542515412e-05,16.11318164863288,NNP,2,NN,0,edward,edward,edward,0.07416696519286074,28.639602272815992
edwin,2,5,2.5649937350028022e-06,18.572613267270178,NNP,1,NN,0,edwin,edwin,edwin,0.19166306070120384,8.049848549450562
ee,7,2,8.977478072509808e-06,16.765258345212576,NN,2,NN,0,ee,ee,ee,0.08553432452985903,28.639602272815992
eeles,1,5,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,eel,eel,eel,0.02217589132080045,8.049848549450562
eels,2,4,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,eel,eel,eel,0.049925667383166374,14.099697098901123
eerie,2,5,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,eeri,eeri,eery,0.04707513771608516,8.049848549450562
efface,1,6,1.2824968675014011e-06,19.572613267270178,VB,1,VB,0,effac,effac,effac,0.0555161968927625,8.049848549450562
effec,1,5,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,effec,effec,effec,0.08749835379837567,8.049848549450562
effect,103,6,0.0001320971773526443,12.886112740086961,NN,4,NN,0,effect,effect,effect,0.01654022279298044,134.43958727539166
effected,3,8,3.8474906025042036e-06,17.987650766549024,VBN,2,VB,0,effect,effect,effect,0.06794036548610453,19.394658146188217
effective,2,9,2.5649937350028022e-06,18.572613267270178,JJ,1,JJ,0,effect,effect,effect,0.021955700234468335,14.099697098901123
effectively,2,11,2.5649937350028022e-06,18.572613267270178,RB,2,RB,0,effect,effect,effect,0.04384503474397232,14.099697098901123
effects,5,7,6.412484337507005e-06,17.250685172382816,NNS,2,NN,0,effect,effect,effect,0.043084044890406674,28.639602272815992
effectual,1,9,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,effectu,effectu,effect,0.08563668669628258,8.049848549450562
effectually,3,11,3.8474906025042036e-06,17.987650766549024,RB,1,RB,0,effectu,effectu,effect,0.026804747959480815,19.394658146188217
effeminacy,1,10,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,effeminaci,effeminaci,effemin,0.028956289746225047,8.049848549450562
effeminate,1,10,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,effemin,effemin,effemin,0.029704238189854473,8.049848549450562
effervescence,1,13,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,effervesc,effervesc,effervesc,0.012233812385183226,8.049848549450562
effervescing,1,12,1.2824968675014011e-06,19.572613267270178,VBG,1,VB,0,effervesc,effervesc,effervesc,0.025555074760160515,8.049848549450562
efficiency,6,10,7.694981205008407e-06,16.987650766549024,NN,2,NN,0,effici,effici,efficy,0.045975745072879874,32.789316292376434
efficient,4,9,5.1299874700056045e-06,17.572613267270178,JJ,2,JJ,0,effici,effici,efficy,0.048017994705938226,24.199394197802246
efficiently,2,11,2.5649937350028022e-06,18.572613267270178,RB,1,RB,0,effici,effici,efficy,0.04541857173593228,14.099697098901123
effigy,2,6,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,effigi,effigi,effigy,0.022854091826303567,14.099697098901123
effort,111,6,0.00014235715229265553,12.778197400920073,NN,3,NN,0,effort,effort,effort,0.01680882216673892,131.78624786743697
effortexcept,1,12,1.2824968675014011e-06,19.572613267270178,IN,1,IN,0,effortexcept,effortexcept,effortexceiv,0.016982802846942112,8.049848549450562
effortless,1,10,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,effortless,effortless,effortless,0.10733131399267418,8.049848549450562
efforts,20,7,2.564993735002802e-05,15.250685172382816,NNS,3,NN,0,effort,effort,effort,0.02908483600720198,64.79757679120898
effulgent,1,9,1.2824968675014011e-06,19.572613267270178,VBZ,1,VB,0,effulg,effulg,effulg,0.013218142117324404,8.049848549450562
effusively,3,10,3.8474906025042036e-06,17.987650766549024,RB,2,RB,0,effus,effus,effus,0.02885463453426397,19.394658146188217
egg,54,3,6.925483084507567e-05,13.81772576510671,NNP,2,NN,0,egg,egg,eg,0.03773799332466674,81.10459164805162
egged,1,5,1.2824968675014011e-06,19.572613267270178,VBN,1,VB,0,eg,eg,eg,0.023816119968788647,8.049848549450562
eggers,1,6,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,egger,egger,eg,0.040048997758460506,8.049848549450562
eggs,37,4,4.745238409755184e-05,14.363159901641229,NNS,5,NN,0,egg,egg,eg,0.031490527746367666,74.55840909126398
eggshell,2,8,2.5649937350028022e-06,18.572613267270178,NN,1,NN,0,eggshel,eggshel,eggshel,0.0444743013781799,8.049848549450562
eggsthe,1,7,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,eggsth,eggsth,eggsth,0.03985073539331962,8.049848549450562
egoism,1,6,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,egoism,egoism,ego,0.02775809844638125,8.049848549450562
egoist,5,6,6.412484337507005e-06,17.250685172382816,NN,2,NN,0,egoist,egoist,ego,0.041284108681075515,24.199394197802246
egoistical,1,10,1.2824968675014011e-06,19.572613267270178,JJ,1,JJ,0,egoist,egoist,ego,0.04128127461256698,8.049848549450562
egotism,7,7,8.977478072509808e-06,16.765258345212576,NN,1,NN,0,egot,egot,egot,0.030411184416869345,36.6974553917507
egotist,7,7,8.977478072509808e-06,16.765258345212576,NN,2,NN,0,egotist,egotist,egot,0.06745622134178801,19.394658146188217
egotistic,3,9,3.8474906025042036e-06,17.987650766549024,JJ,1,JJ,0,egotist,egotist,egot,0.02704766114463411,14.099697098901123
egotists,1,8,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,egotist,egotist,egot,0.08385258905677669,8.049848549450562
egyptian,2,8,2.5649937350028022e-06,18.572613267270178,JJ,1,JJ,0,egyptian,egyptian,egypt,0.057071058502053885,14.099697098901123
egyptology,1,10,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,egyptolog,egyptolog,egyptolog,0.01701870729270732,8.049848549450562
eh,33,2,4.2322396627546235e-05,14.528219147911726,NN,4,NN,0,eh,eh,eh,0.03662778031755855,87.0846296140462
eight,68,5,8.720978699009528e-05,13.485150426019839,CD,5,CD,0,eight,eight,eight,0.026653079138272532,110.3841583381316
eighteen,31,8,3.975740289254344e-05,14.618416956883303,JJ,6,JJ,0,eighteen,eighteen,eighteen,0.11406126824439052,69.83862386414849
eighteenth,16,10,2.0519949880022418e-05,15.572613267270178,JJ,2,JJ,0,eighteenth,eighteenth,eighteen,0.026768116092490336,62.14436930763064
eighteenthat,1,12,1.2824968675014011e-06,19.572613267270178,WP,1,WP,0,eighteenthat,eighteenthat,eighteenth,0.03926755389975884,8.049848549450562
eighth,5,6,6.412484337507005e-06,17.250685172382816,JJ,3,JJ,0,eighth,eighth,eigh,0.04888829850611472,28.639602272815992
eighthere,1,9,1.2824968675014011e-06,19.572613267270178,EX,1,EX,0,eighther,eighther,eighth,0.02217589132080045,8.049848549450562
eighties,1,8,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,eighti,eighti,eighty,0.06240192673992684,8.049848549450562
eighty,15,6,1.9237453012521015e-05,15.66572267166166,NN,6,NN,0,eighti,eighti,eighty,0.026890780709963296,56.542314807023104
eisenhaurs,1,10,1.2824968675014011e-06,19.572613267270178,NNP,1,NN,0,eisenhaur,eisenhaur,eisenha,0.11337814858381073,8.049848549450562
either,186,6,0.0002385444173552606,12.033454456162147,DT,11,DT,0,either,either,eith,0.015338028489442247,140.6290606780229
eithershe,1,9,1.2824968675014011e-06,19.572613267270178,VBZ,1,VB,0,eithersh,eithersh,eithersh,0.011925701554741572,8.049848549450562
eitheruntil,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,eitheruntil,eitheruntil,eitheruntil,0.045223868255340235,8.049848549450562
ejaculated,7,10,8.977478072509808e-06,16.765258345212576,VBD,3,VB,0,ejacul,ejacul,ejac,0.026222009740336893,36.6974553917507
ejaculating,2,11,2.5649937350028022e-06,18.572613267270178,VBG,1,VB,0,ejacul,ejacul,ejac,0.016728387706357317,14.099697098901123
ejaculation,1,11,1.2824968675014011e-06,19.572613267270178,NN,1,NN,0,ejacul,ejacul,ejac,0.050311553434066014,8.049848549450562
ejaculations,1,12,1.2824968675014011e-06,19.572613267270178,NNS,1,NN,0,ejacul,ejacul,ejac,0.11027189793767893,8.049848549450562
el,9,2,1.154247180751261e-05,16.402688265827866,NNP,2,NN,0,el,el,el,0.055752620671676176,24.199394197802246
elaborate,16,9,2.0519949880022418e-05,15.572613267270178,JJ,2,JJ,0,elabor,elabor,elab,0.034953349161942794,59.39491078350141
elaborately,6,11,7.694981205008407e-06,16.987650766549024,RB,3,RB,0,elabor,elabor,elab,0.02934557567206042,28.639602272815992
